Clust_ID,Num_Seqs,"2004","2005","2006","2007","2008","2009","2010","2011","2012","Year_NA","North","South","Tropical","Region_NA","NorthAmerica","Asia","Africa","Europe","Oceania","SouthAmerica","Continent_NA"
79,2,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0
78,2,0,0,0,0,0,2,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0
77,2,0,0,0,0,0,2,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0
35,2,0,0,0,2,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0
36,2,0,0,0,2,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0
33,2,0,0,0,2,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0
34,2,0,0,0,2,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0
39,2,0,0,0,2,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0
37,7,0,0,0,6,1,0,0,0,0,0,7,0,0,0,7,0,0,0,0,0,0
38,2,0,0,0,2,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0
43,4,0,0,0,2,2,0,0,0,0,0,1,0,3,0,0,4,0,0,0,0,0
42,2,0,0,0,2,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0
41,17,0,0,0,7,10,0,0,0,0,0,16,0,1,0,15,2,0,0,0,0,0
40,8,0,0,0,6,2,0,0,0,0,0,0,0,8,0,0,8,0,0,0,0,0
82,2,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0
83,3,0,0,0,0,0,3,0,0,0,0,2,1,0,0,2,0,0,0,1,0,0
80,68,0,0,0,0,0,1,29,33,5,0,41,0,27,0,29,21,0,6,0,12,0
81,4,0,0,0,0,0,1,3,0,0,0,1,0,3,0,0,0,1,0,0,3,0
86,2,0,0,0,0,0,2,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0
87,14,0,0,0,0,0,2,9,3,0,0,4,0,10,0,1,0,2,1,0,10,0
84,2,0,0,0,0,0,2,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0
85,2,0,0,0,0,1,1,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0
67,4,0,0,0,0,2,2,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0
66,5,0,0,0,0,0,5,0,0,0,0,5,0,0,0,3,0,1,1,0,0,0
69,12,0,0,0,0,0,12,0,0,0,0,12,0,0,0,12,0,0,0,0,0,0
68,6,0,0,0,0,5,1,0,0,0,0,1,0,5,0,1,5,0,0,0,0,0
22,7,0,0,6,1,0,0,0,0,0,0,7,0,0,0,7,0,0,0,0,0,0
23,2,0,0,2,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0
24,2,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0
25,2,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0
26,2,0,0,2,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0
27,14,0,0,3,11,0,0,0,0,0,0,11,0,3,0,6,8,0,0,0,0,0
28,37,0,0,2,35,0,0,0,0,0,0,16,0,21,0,15,21,0,1,0,0,0
29,6,0,0,5,1,0,0,0,0,0,0,1,0,5,0,1,5,0,0,0,0,0
3,6,6,0,0,0,0,0,0,0,0,0,6,0,0,0,0,6,0,0,0,0,0
2,22,17,5,0,0,0,0,0,0,0,0,18,4,0,0,0,18,0,0,4,0,0
1,13,13,0,0,0,0,0,0,0,0,0,11,0,2,0,5,8,0,0,0,0,0
7,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0
30,45,0,0,0,8,36,1,0,0,0,0,43,0,2,0,36,8,0,1,0,0,0
6,7,7,0,0,0,0,0,0,0,0,0,0,1,6,0,0,6,0,0,1,0,0
5,3,2,1,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0
32,7,0,0,0,7,0,0,0,0,0,0,5,0,2,0,3,4,0,0,0,0,0
4,11,11,0,0,0,0,0,0,0,0,0,5,2,4,0,0,9,0,0,2,0,0
31,9,0,0,0,9,0,0,0,0,0,0,3,0,6,0,2,7,0,0,0,0,0
70,11,0,0,0,0,4,6,1,0,0,0,8,0,3,0,5,4,0,0,2,0,0
71,113,0,0,0,0,0,95,12,6,0,0,83,4,26,0,49,51,4,1,4,4,0
9,5,5,0,0,0,0,0,0,0,0,0,0,3,2,0,0,2,0,0,3,0,0
72,2,0,0,0,0,1,1,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0
8,3,1,2,0,0,0,0,0,0,0,0,0,2,1,0,0,1,0,0,2,0,0
73,4,0,0,0,0,3,1,0,0,0,0,3,0,1,0,2,0,1,1,0,0,0
74,3,0,0,0,0,1,2,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0
75,4,0,0,0,0,2,2,0,0,0,0,4,0,0,0,4,0,0,0,0,0,0
76,6,0,0,0,0,2,4,0,0,0,0,6,0,0,0,6,0,0,0,0,0,0
59,2,0,0,0,0,2,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0
58,2,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0
57,2,0,0,0,0,2,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0
56,3,0,0,0,0,3,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0
19,2,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0
55,2,0,0,0,0,1,1,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0
17,3,0,3,0,0,0,0,0,0,0,0,1,1,1,0,0,2,0,0,1,0,0
18,3,0,3,0,0,0,0,0,0,0,0,2,0,1,0,0,3,0,0,0,0,0
15,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0
16,7,0,6,1,0,0,0,0,0,0,0,2,1,4,0,0,6,0,0,1,0,0
13,14,8,6,0,0,0,0,0,0,0,0,12,2,0,0,12,0,0,0,2,0,0
14,2,1,1,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0
11,5,4,1,0,0,0,0,0,0,0,0,4,1,0,0,4,0,0,0,1,0,0
12,5,3,2,0,0,0,0,0,0,0,0,4,1,0,0,4,0,0,0,1,0,0
21,3,0,2,1,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0
20,7,3,4,0,0,0,0,0,0,0,0,2,3,2,0,2,2,0,0,3,0,0
64,2,0,0,0,2,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0
65,2,0,0,0,0,0,2,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0
62,2,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0
63,3,0,0,0,0,1,2,0,0,0,0,3,0,0,0,1,2,0,0,0,0,0
60,4,0,0,0,0,4,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,0
61,8,0,0,0,5,3,0,0,0,0,0,8,0,0,0,8,0,0,0,0,0,0
49,2,0,0,0,2,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0
48,4,0,0,0,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4,0
45,3,0,0,0,3,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0
44,7,0,0,0,5,2,0,0,0,0,0,3,0,4,0,0,7,0,0,0,0,0
93,4,0,0,0,0,0,0,2,2,0,0,1,0,3,0,1,0,0,0,0,3,0
47,2,0,0,0,2,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0
92,2,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,2,0,0,0,0
46,2,0,0,0,1,1,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0
91,3,0,0,0,0,0,0,0,1,2,0,2,0,1,0,1,2,0,0,0,0,0
90,22,0,0,0,0,0,3,6,13,0,0,14,1,7,0,13,7,1,0,1,0,0
10,27,1,23,1,2,0,0,0,0,0,0,6,19,2,0,4,3,0,1,19,0,0
51,2,0,0,0,0,2,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0
52,2,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0
53,2,0,0,0,0,2,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0
54,2,0,0,0,0,2,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0
88,5,0,0,0,0,0,0,5,0,0,0,0,0,5,0,0,5,0,0,0,0,0
50,5,0,0,0,5,0,0,0,0,0,0,5,0,0,0,5,0,0,0,0,0,0
89,73,0,0,0,0,0,0,1,56,16,0,18,0,55,0,0,68,0,5,0,0,0
